rule,ra,rb,rb_max
45,0.012944585005027428,"[0.01285421 0.01296258 0.01388464 0.0102208  0.01133997 0.00637439
 0.01616802]",0.016168022574460154
46,0.00211644618274228,"[0.0087627  0.00578588 0.00521508 0.00779899 0.00800379 0.0058984
 0.00386958]",0.008762695461216954
47,0.001951721665688395,"[0.00206501 0.00242074 0.00153719 0.0019519  0.00248302 0.00169244
 0.00193938]",0.00248302395004714
48,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
49,0.0033320364143668542,"[0.0054751  0.00359783 0.00223289 0.00327715 0.00172329 0.0018331
 0.00312592]",0.005475102521327573
50,0.0,"[2.75089423e-03 1.25988158e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",0.0027508942269049617
51,0.0012355649051833287,"[0.00376385 0.00230373 0.00460115 0.00132599 0.001851   0.00199587
 0.00220703]",0.004601145992515832
52,0.00830463716321783,"[0.02193013 0.01946705 0.02860165 0.01549554 0.01236531 0.00591594
 0.00995827]",0.028601646445005235
53,0.0017772906078527865,"[0.0038515  0.00321292 0.00249788 0.00228698 0.0020408  0.00197999
 0.00208133]",0.003851498368497598
54,0.003490490255282527,"[0.00741685 0.00454939 0.0060525  0.00501074 0.00372693 0.00238648
 0.00238427]",0.00741685446525215
55,0.001526067672052083,"[0.0019695  0.00421266 0.00238206 0.00279371 0.00275853 0.00125263
 0.00142109]",0.004212656666579463
56,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
57,0.0015986040537403017,"[0.00178909 0.00392246 0.00362354 0.00545742 0.00387339 0.00382973
 0.00182892]",0.005457423951872918
58,0.0,"[0.06964251 0.0242494  0.00914836 0.00635536 0.00677239 0.00095241
 0.00024542]",0.06964251000646086
59,0.0017920499036418798,"[0.00383293 0.00387059 0.00279341 0.00367072 0.00346642 0.00357851
 0.00289322]",0.0038705916040159857
60,0.005239132213373379,"[0.01172646 0.00619041 0.00997422 0.00923301 0.00501807 0.00692129
 0.00682192]",0.011726458416083165
61,0.0022617288653411305,"[0.00244777 0.00172278 0.00254254 0.00211862 0.00253245 0.00185848
 0.00233275]",0.0025425409113156955
62,0.003365077182539005,"[0.00427692 0.00290419 0.00267278 0.00230953 0.00305652 0.00360636
 0.00229396]",0.004276918672751832
63,0.00131496333463279,"[0.00225393 0.00285437 0.00177144 0.00145876 0.00136969 0.00169955
 0.00217808]",0.002854372029455829
64,0.0,[0. 0. 0. 0. 0. 0. 0.],0.0
65,0.0009422229709490695,"[0.00256396 0.00218421 0.00131758 0.00091168 0.00078835 0.0015993
 0.00071789]",0.002563960230481752
66,0.0,"[1.63784605e-05 6.67737236e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",6.677372356496347e-05
67,0.002401113167771239,"[0.00480573 0.00266073 0.00239634 0.0025258  0.00202313 0.00162057
 0.00238673]",0.0048057345044211774
68,0.010465362369445662,"[0.01038925 0.00796819 0.00563436 0.009759   0.00806718 0.00678467
 0.00503953]",0.010389249632986442
69,0.008164965809277303,"[0.00835711 0.00835711 0.00723747 0.00845154 0.01038925 0.00786796
 0.00723747]",0.01038924963298636
70,0.0006812849670653302,"[0.00074305 0.00125103 0.00088326 0.00124822 0.00080768 0.00061816
 0.00122444]",0.0012510281485927461
71,0.0008276146638055919,"[0.0016883  0.00135505 0.00116344 0.00120131 0.00077276 0.00070297
 0.0009544 ]",0.0016882953739915632
